Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean
PT Solusi Transportasi Indonesia,"Software Engineer, Fullstack - Insurance",Fullstack Engineer,Jakarta Raya,,"['excel', 'go', 'git', 'golang', 'java', 'mysql', 'oracle', 'postgresql']",Tidak Disebutkan,full time
JAPFA FOOD INDONESIA,Analyst Engineer,Business / System Analyst,Jakarta Barat,,['sql'],S1,full time
PT Pangan Lestari,Power BI Analyst,Data / AI,Sidoarjo,,"['excel', 'power bi', 'sql']",S1,full time
PT. CETC TEKNOLOGI INDONESIA,Channel Sales Specialist B2B – Network Products,Network / Infra / SysAdmin,Jakarta Raya,,['networking'],Tidak Disebutkan,full time
PT. Integrita Global Sertifikat,IT Support (Mid-Level),Support / Helpdesk / IT Ops,South Tangerang,,"['aws', 'azure', 'google cloud', 'html', 'php', 'python', 'tcp/ip']",S1,full time
CV Herba Bumi Pertiwi,Full Stack Developer,Fullstack Engineer,Bogor,,"['agile', 'android', 'angular', 'css', 'docker', 'flutter', 'go', 'git', 'html', 'ios', 'javascript', 'mongodb', 'mysql', 'postgresql', 'react', 'scrum', 'sql', 'vue']",S1,kontrak/temporer
PT Bridgestone Tire Indonesia,Programmer,Other,Bekasi,,"['.net', 'oracle', 'sql']",Diploma,full time
PT ROCKSTAR SPORTS SCHOOL,Software Engineer,Other,Jakarta Barat,12000000.0,"['agile', 'aws', 'azure', 'c', 'c#', 'css', 'flutter', 'git', 'html', 'java', 'javascript', 'node.js', 'php', 'python', 'react', 'react native', 'typescript']",S1,full time
PT Nusantara Compnet Integrator,Project Manager,Product / Project / Scrum,Jakarta Barat,,['excel'],S1,full time
PT. RAVENCODE DIGITAL KREASI,Senior Fullstack Developer,Fullstack Engineer,Jakarta Barat,17500000.0,"['angular', 'aws', 'azure', 'docker', 'git', 'javascript', 'kubernetes', 'mongodb', 'mysql', 'node.js', 'postgresql', 'redis', 'sql', 'typescript']",Tidak Disebutkan,full time
Next TI,AI Infrastructure Engineer,Data / AI,Jakarta Selatan,,"['docker', 'git', 'kubernetes', 'linux', 'python']",Tidak Disebutkan,full time
PT Sky Parking Utama,Product Manager Project,Product / Project / Scrum,Tangerang,,[],S1,full time
PT Inti Everspring Indonesia (Jakarta branch),IT Engineer,Other,Serang,8000000.0,[],Tidak Disebutkan,full time
IP-TRIBE PRIVATE LIMITED,Project Manager,Product / Project / Scrum,Jakarta Raya(Jarak jauh),50000000.0,['networking'],S1,full time
PT Perangkat Lunak Indonesia,Junior .NET Developer,Other,Jakarta Utara,6250000.0,"['.net', 'c', 'c#', 'css', 'html', 'javascript', 'sql']",Tidak Disebutkan,full time
PT Pro Energi,IT Infrastructure & Security Staff,Security / Cybersecurity,Jakarta Raya,,"['docker', 'kubernetes']",S1,full time
Falco Indonesia,SALES ENGINEER,Sales / Presales / Solution,Jakarta Pusat,7500000.0,[],S1,full time
PT. SOHO Industri Pharmasi,BT Mobile Developer,Mobile Developer,Jakarta Timur,,"['android', 'flutter', 'ios', 'java', 'kotlin', 'react', 'react native', 'ui/ux']",S1,full time
P.T. Airindo Sakti,IT Programmer,Other,Jakarta Selatan,,"['.net', 'php', 'sql']",S1,full time
Wilmar Group,ERP Account Manager,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],S1,full time
PT Mitra Informatika,DevOps Engineer,DevOps / Cloud / SRE,Surabaya,5500000.0,"['kubernetes', 'linux', 'mysql', 'networking', 'postgresql', 'python', 'terraform']",Tidak Disebutkan,full time
PT. Amalura Multi Dimensi,Fullstack Developer (Java Springboot),Backend Engineer,Jakarta Barat,7500000.0,"['angular', 'java', 'pandas', 'python', 'spring boot']",S1,kontrak/temporer
PT Asuransi Jiwa Sequis Life,IT Database Administrator Department Head,Data / AI,Jakarta Selatan,,"['aws', 'mysql', 'oracle', 'postgresql', 'sql']",S1,full time
Mega Corindo Asia,DATA ANALYST - DIGITAL TRANSFORMATION & AI,Data / AI,Cilegon,6750000.0,"['aws', 'azure', 'excel', 'machine learning', 'power bi', 'python', 'sql', 'tableau']",S1,kontrak/temporer
"PT. Metrodata Electronics, Tbk",Functional Consultant Assc.,Sales / Presales / Solution,Jakarta Raya,,[],Tidak Disebutkan,full time
PT DyKa Konsultama,LOGISTIC MANAGER (Mandarin Speaker),Other,Jakarta Selatan,25000000.0,[],Tidak Disebutkan,full time
Pengiklan Anonim,Business Manager,Other,Jakarta Selatan,14500000.0,[],Tidak Disebutkan,full time
AME Mineral Economics Pty Ltd,IT Operations Engineer,Other,Jakarta Selatan,12500000.0,"['azure', 'networking']",S1,full time
PT. Amalura Multi Dimensi,Senior .Net Developer,Other,Sleman,10500000.0,"['.net', 'c', 'c#', 'git', 'javascript', 'kubernetes', 'redis', 'sql']",S1,kontrak/temporer
PT Technomed Asia,Quality Assurance Engineer (Non IT),QA / Tester,Bandung,,[],S1,full time
PT BPR Sarana Utama Multidana,Kabag IT / Manager IT,Other,Jakarta Pusat,18500000.0,[],S1,full time
PT Phincon,Head of VAS (Value Added Service),Other,Jakarta Raya,24500000.0,['go'],S1,full time
PT. Amalura Multi Dimensi,Scrum Master,Product / Project / Scrum,Jakarta Timur,10000000.0,"['agile', 'scrum']",S1,kontrak/temporer
PT Bawana Margatama,Java Developer,Backend Engineer,Jakarta Selatan,,"['flutter', 'java', 'oracle', 'postgresql', 'vue']",Tidak Disebutkan,kontrak/temporer
CHAMPOIL Indonesia,Odoo ERP & Smart Manufacturing Backend Engineer (Industrial Systems),Backend Engineer,Jakarta Utara,8500000.0,"['iot', 'postgresql', 'python']",Tidak Disebutkan,full time
"PT Allo Bank Indonesia, Tbk",IT Security Design & Engineering Section Head,Security / Cybersecurity,Jakarta Selatan,,[],S1,full time
PT. Pintar Inovasi Digital,IT Security Engineer,Security / Cybersecurity,Jakarta Selatan,,"['aws', 'cybersecurity', 'linux', 'penetration testing']",Diploma,full time
PT Energi Kreasi Bersama,[ERP] Odoo Functional Consultant,ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,['python'],S1,full time
PT Astrindo Starvision,Sales Engineer,Sales / Presales / Solution,Jakarta Utara,6114938.0,[],S1,kontrak/temporer
PT Fratekindo Jaya Gemilang,AI WEB SPECIALIST,Data / AI,Jakarta Selatan,9000000.0,"['angular', 'azure', 'css', 'git', 'google cloud', 'html', 'javascript', 'machine learning', 'numpy', 'pandas', 'python', 'pytorch', 'react', 'tensorflow', 'vue']",S1,full time
PT Nusantara Compnet Integrator,3rd Level Engineer (Network),Network / Infra / SysAdmin,Jakarta Barat,,[],S1,full time
PT Tokoplas Ecommerce Indonesia,Frontend Engineer,Frontend Engineer,Jakarta Pusat,,"['css', 'git', 'html', 'javascript', 'laravel', 'node.js', 'typescript', 'ui/ux', 'vue']",Tidak Disebutkan,full time
PT. Zhisheng Pacific Trading (Mixue),Staf Platform Delivery Operasional(Area/Toko),Other,Jakarta Raya,,['excel'],Tidak Disebutkan,full time
PT GRESTENAN RAMADHANI,Tester Quality Assurance,QA / Tester,Jakarta Raya,,"['agile', 'angular', 'html', 'java', 'javascript', 'jira', 'linux', 'spring boot', 'sql']",S1,kontrak/temporer
PT XL Axiata Tbk,Software Engineer,Other,Jakarta Raya,,"['agile', 'scrum']",S1,full time
Jasnikom Gemanusa,Account Manager,Sales / Presales / Solution,Jakarta Raya,,['networking'],S1,full time
PT Trinusa Travelindo,Associate Product Operations Manager,Security / Cybersecurity,Jakarta Raya,,"['java', 'sql']",S1,full time
PT Sinergi Wahana Gemilang,Java Developer,Backend Engineer,Jakarta Raya,,"['git', 'java', 'spring boot']",S1,full time
PT DUTA SOLUSI PRIMA,Database Engineer,Data / AI,Jakarta Selatan,,"['excel', 'linux', 'oracle', 'sql']",Diploma,full time
PT Tamara Overseas Corporindo,IT Support (Quality Control),Support / Helpdesk / IT Ops,Jakarta Barat,4500000.0,['sql'],Diploma,full time
PT Samudra Cahaya Artha,"Roll Out Team (Leader, Engineer, Member)",Other,Jakarta Raya,6000000.0,['c'],Tidak Disebutkan,kontrak/temporer
PT Mitra Transaksi Indonesia,Staff IT Middleware Developer,Other,Jakarta Raya,,"['linux', 'networking', 'python']",S1,kontrak/temporer
PT Mandiri Tunas Finance,IT Integration System Staff,Other,Jakarta Pusat,,[],Tidak Disebutkan,kontrak/temporer
PT Global Tiket Network,Sales and Insurance Intern,Sales / Presales / Solution,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Trinusa Travelindo,Software Engineer,Other,Jakarta Raya,,"['agile', 'android', 'aws', 'c', 'go', 'ios', 'java', 'javascript', 'kotlin', 'python', 'react', 'swift', 'typescript']",S1,full time
PT Formulatrix Indonesia,Software Research Engineer,Other,Bandung,,"['aws', 'c', 'c#', 'c++', 'google cloud', 'machine learning', 'python', 'pytorch', 'tensorflow']",Diploma,full time
PT Infosys Solusi Terpadu,Presales Infrastructure Technical Engineer (HCI),Network / Infra / SysAdmin,Jakarta Pusat,,[],S1,full time
PT Swadharma Duta Data,IT Project Manager,Product / Project / Scrum,Jakarta Raya,11000000.0,"['scrum', 'sql']",S1,full time
PT Armindo Manikam Perkasa,Cyber Engineer Supervisor,Security / Cybersecurity,Jakarta Barat,,"['aws', 'azure', 'cybersecurity', 'linux', 'networking', 'penetration testing', 'python', 'tcp/ip']",Tidak Disebutkan,full time
"PT Tower Bersama Infrastructure, Tbk",Enterprise Presales Officer,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],S1,kontrak/temporer
PT. PERSOLKELLY Recruitment Indonesia,IT Specialist (MS Dynamics NAV) - WFO Jakarta,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,[],Diploma,kontrak/temporer
PT Asuransi Jiwa Syariah Al Amin,FULLSTACK DEVELOPER STAFF,Fullstack Engineer,Jakarta Selatan,6250000.0,"['c', 'css', 'docker', 'flutter', 'git', 'golang', 'laravel', 'linux', 'mongodb', 'mysql', 'node.js', 'postgresql', 'react', 'react native', 'vue']",Tidak Disebutkan,kontrak/temporer
Abrihet Teknobalhar Informa,IT Project Manager,Product / Project / Scrum,Surabaya,,['java'],S1,full time
PT GLOBAL HEFATEK INDONESIA,Linux Engineer,Frontend Engineer,Jakarta Raya,8000000.0,"['linux', 'python', 'tcp/ip']",Tidak Disebutkan,full time
PT Falah Inovasi Teknologi,Developer Operations Engineer,Other,Jakarta Selatan,7650000.0,"['agile', 'docker', 'git', 'jenkins', 'kubernetes', 'python', 'scrum']",S1,kontrak/temporer
DXC Technology Malaysia Sdn Bhd.,Business Analyst (Insurance Industry),Business / System Analyst,Jakarta Pusat,,[],S1,full time
Kotrack Machinery Indonesia,IT Support Staff,Support / Helpdesk / IT Ops,Jakarta Raya,7500000.0,['linux'],Tidak Disebutkan,full time
"PT. Trimegah Sekuritas Indonesia, Tbk",Junior Governance & Compliance (IT),Other,Jakarta Selatan,,[],S1,full time
PT Harrisma Informatika Jaya,SAP Business One (B1) Application Support,ERP / SAP / Odoo / Dynamics,Jakarta Barat,12000000.0,"['.net', 'c', 'c#', 'java', 'sql']",S1,full time
Tech Game,Management Trainee,Other,Jakarta Raya(Jarak jauh),10000000.0,[],Tidak Disebutkan,full time
PT Nusantara Compnet Integrator,Security Engineer (Onsite),Security / Cybersecurity,Jakarta Raya,,"['cybersecurity', 'penetration testing']",S1,kontrak/temporer
Coca-Cola Europacific Partners Indonesia,Infrastructure Services Specialist,Network / Infra / SysAdmin,Jakarta Selatan,,['azure'],S1,full time
PT Global Jet Express,Staff IT Support,Support / Helpdesk / IT Ops,Tangerang,,['iot'],Diploma,kontrak/temporer
Google,"Strategic Cloud Architect, Security, Google Cloud",DevOps / Cloud / SRE,Jakarta Raya(Hibrid),,"['c', 'c++', 'go', 'google cloud', 'java', 'python']",S1,full time
JINISO.ID,Data & Business Analyst (E-Commerce),Data / AI,South Tangerang,8500000.0,['excel'],S1,full time
PT Agung Automall,Programmer,Other,Jakarta Pusat,,"['css', 'html', 'javascript', 'laravel', 'mysql', 'php']",S1,full time
CBQA GLOBAL INDONESIA,Sales IT Audit,Sales / Presales / Solution,Jakarta Selatan,7000000.0,[],S1,full time
PT Gamma Persada Sinergi,IT SUPPORT PROJECT,Support / Helpdesk / IT Ops,Jakarta Raya,,[],Diploma,full time
AME Mineral Economics Pty Ltd,Senior Databricks / Lakehouse Engineer,Data / AI,Jakarta Selatan,17500000.0,"['agile', 'azure', 'spark', 'sql']",S1,full time
PT Intikom Berlian Mustika - Talent Acquisition,Java Developer,Backend Engineer,Jakarta Raya,12000000.0,"['agile', 'aws', 'azure', 'docker', 'git', 'java', 'kubernetes', 'scrum', 'spring boot']",Tidak Disebutkan,kontrak/temporer
Alpha Code Technologies,Senior Penetration Tester,QA / Tester,Jakarta Selatan,,['penetration testing'],Tidak Disebutkan,kontrak/temporer
"PT. Solusi Sinergi Digital, Tbk (Surge)",Head of Infrastruktur Fiber Optic,Network / Infra / SysAdmin,Jakarta Barat,,['c'],S1,kontrak/temporer
PT Nusantara Berkah Digital,Lead QA Engineer,QA / Tester,Bantul,7500000.0,"['agile', 'jira', 'mysql', 'scrum']",Tidak Disebutkan,full time
"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",IT Business Unit Coordinator,Other,Tangerang,,[],S1,full time
PT Merah Cipta Media,Technical Artist for Visinema,Other,Jakarta Selatan,,['python'],Tidak Disebutkan,full time
PT Alternative Media Group,Head of Data and Product,Data / AI,Jakarta Selatan,,['agile'],Tidak Disebutkan,full time
PT Nomura Research Institute Indonesia,Backend Engineer (NodeJS),Backend Engineer,Jakarta Pusat,,"['aws', 'azure', 'docker', 'java', 'mysql', 'node.js', 'postgresql', 'python', 'redis', 'terraform', 'typescript']",Tidak Disebutkan,kontrak/temporer
BVS Visions Verwaltungs GmbH,Shopify Developer,Other,Jakarta Raya(Jarak jauh),21000000.0,"['css', 'figma', 'html', 'javascript']",Tidak Disebutkan,kontrak/temporer
PT Sahabat Kirim Digital,IT Manager,Other,Jakarta Barat,,"['golang', 'java', 'mysql', 'php']",S1,full time
Yayasan BPK Penabur Jakarta,Full Stack Developer,Fullstack Engineer,Jakarta Barat,,"['git', 'mysql', 'node.js', 'postgresql', 'react', 'sql']",S1,full time
"PT. Metrodata Electronics, Tbk",Darwinbox Functional Consultant,Sales / Presales / Solution,Jakarta Barat,,[],S1,full time
PT Asuransi Tri Pakarta,Business Intelligence Officer,Data / AI,Jakarta Selatan,,"['machine learning', 'python', 'pytorch', 'sql', 'tensorflow']",S1,full time
PT Matahari Graha Fantasi (Timezone Indonesia),IT Operation Lead,Other,Jakarta Selatan,,[],S1,full time
PT Provis Garuda Services,Helpdesk IT Dokumen,Support / Helpdesk / IT Ops,Jakarta Selatan,7000000.0,[],Diploma,kontrak/temporer
PT Hitachi eBworx Indonesia,IT JAVA Programmer (Junior),Backend Engineer,Jakarta Pusat,,"['java', 'oracle', 'sql']",Tidak Disebutkan,full time
PT. BRI Multifinance Indonesia,Staff IT (Developer),Other,Jakarta Selatan,,[],S1,kontrak/temporer
HITHINK TECHNOLOGY INDONESIA,Software Engineer Project Manager (JAPANESE or MANDARIN Speaker),Product / Project / Scrum,Jakarta Selatan,18000000.0,['big data'],S1,full time
PT AVS Simulator,Project Manager,Product / Project / Scrum,Bandung,,"['agile', 'jira']",S1,full time
PT Ako Media Asia,QA Analyst,QA / Tester,Jakarta Barat,,['jira'],S1,kontrak/temporer
PT Dragon Pack,Odoo Developer,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,"['postgresql', 'python']",Tidak Disebutkan,full time
TITANICOM TECH LIMITED,Alibaba Data Center IT Operations Technician,Data / AI,Jakarta Raya,,[],Tidak Disebutkan,full time
PT. Mega Bintang Mas Indonesia,Network Engineer-Presales,Network / Infra / SysAdmin,Yogyakarta,8750000.0,"['networking', 'tcp/ip']",S1,full time
PT Meta Tekno Indonesia,Product Specialist,Other,Jakarta Selatan,,[],S1,kontrak/temporer
PT Infotech Solutions,Sales IT,Sales / Presales / Solution,Jakarta Selatan,,['networking'],S1,full time
PT. Pintar Inovasi Digital,Back End Developer,Backend Engineer,Jakarta Selatan,,"['agile', 'git', 'java', 'postgresql', 'redis', 'scrum', 'spring boot']",Tidak Disebutkan,full time
PT Wahana Makmur Sejati (Wahanaartha Group),Digital Growth Staff,Other,Jakarta Pusat,,['excel'],S1,full time
PT Dwika Metalindo Sejahtera,Fullstack Developer (Freelance / Project based),Fullstack Engineer,Jakarta Raya,,"['excel', 'laravel', 'node.js', 'php', 'ui/ux']",Tidak Disebutkan,full time
PT Accenture,SAP SuccessFactors,ERP / SAP / Odoo / Dynamics,Jakarta Raya(Hibrid),18750000.0,[],Tidak Disebutkan,full time
PT. Adatama Teknologi Indonesia,Quantitative Software Engineer (Python) – Market Data & Strategy,Data / AI,South Tangerang,18750000.0,"['git', 'numpy', 'pandas', 'python', 'sql']",Tidak Disebutkan,full time
PT Network Data Sistem,Server and Cloud Engineer,DevOps / Cloud / SRE,Jakarta Selatan,9000000.0,"['aws', 'linux', 'networking', 'tcp/ip']",S1,full time
PT. HAND Solutions Indonesia,Java Operations Manager (OPM),Backend Engineer,Jakarta Pusat,,"['aws', 'azure', 'java']",S1,full time
Wilmar Group,ERP Consultant,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,['sql'],S1,full time
"PT Japfa Comfeed Indonesia, Tbk",Data Engineer,Data / AI,Surabaya,,"['agile', 'aws', 'azure', 'git', 'java', 'jenkins', 'power bi', 'python', 'sql', 'tableau']",S1,full time
Elitez Pte Ltd,Microsoft Engineer (Specialist),Other,Jakarta Utara,10000000.0,"['azure', 'networking']",S1,full time
PT IDStar Cipta Teknologi,Java Developer,Backend Engineer,Jakarta Raya,,"['agile', 'aws', 'azure', 'git', 'java', 'spring boot']",Tidak Disebutkan,kontrak/temporer
PT Citra Multi Services,Engineer IT Infrastructure & Data Centre,Data / AI,Jakarta Selatan,,"['networking', 'tcp/ip']",Diploma,kontrak/temporer
PT Fastrata Buana (Distributor Kapal Api),ORACLE DEVELOPER,ERP / SAP / Odoo / Dynamics,Jakarta Timur,,"['oracle', 'sql']",S1,full time
PT BREXA RAYA INDONESIA,IT Sales Manager,Sales / Presales / Solution,Jakarta Pusat,16000000.0,[],S1,full time
PT Karisma Zona Kreatifku,Fullstack Developer (Java Springboot & VueJS),Backend Engineer,Jakarta Selatan,10000000.0,"['git', 'java', 'javascript', 'spring boot', 'typescript', 'vue']",Tidak Disebutkan,kontrak/temporer
PT Trinusa Travelindo,Senior Business Analyst,Business / System Analyst,Jakarta Raya,,"['agile', 'aws', 'scrum']",Tidak Disebutkan,full time
PT Solusi Transportasi Indonesia,"Senior Software Engineer, Mobile (Android) - Fulfilment",Mobile Developer,Jakarta Raya,,"['android', 'flutter', 'java', 'kotlin', 'machine learning']",Tidak Disebutkan,full time
PT. INTERNET PRATAMA INDONESIA TBK,JUNIOR SUPPORT ENGINEER,Support / Helpdesk / IT Ops,Jakarta Raya,,"['networking', 'tcp/ip']",S1,full time
PT Lawencon Internasional,.NET Developer (C#),Other,Jakarta Selatan,,"['.net', 'c', 'c#', 'git', 'mysql', 'postgresql', 'sql']",S1,full time
TalentGo,Wordpress Developer,Other,Jakarta Barat,7000000.0,"['css', 'git', 'html', 'javascript', 'php']",Tidak Disebutkan,kontrak/temporer
PT Prawathiya Karsa Pradipta,IT BUSINESS ANALYST,Business / System Analyst,Bekasi,,"['agile', 'angular', 'figma', 'flutter', 'java']",S1,full time
PT DOODEX JAYA MAKMUR,Odoo IT Project Manager,Product / Project / Scrum,Sleman,9000000.0,[],Tidak Disebutkan,full time
PT. Aktif Solusi Global,"Head of IT Programmer, IT Infrastructure, IT Security, DBA",Security / Cybersecurity,Jakarta Pusat,32000000.0,"['.net', 'docker', 'git', 'java', 'javascript', 'linux', 'mysql', 'php', 'postgresql', 'python', 'sql', 'tcp/ip']",Tidak Disebutkan,full time
"PT SIANTAR TOP, Tbk",Business Intelligence Coordinator,Data / AI,Surabaya,,"['excel', 'java', 'sql', 'tableau']",S1,full time
PT Lawencon Internasional,System Engineer (IBM),Other,Jakarta Selatan,,"['linux', 'sql']",S1,full time
Johnson Controls,Controls Technical Engineer,Other,Jakarta Raya(Hibrid),,['excel'],S1,full time
PT Baramulti Sugih Sentosa (Baramulti Recruitment Center),IT Network Junior Officer,Network / Infra / SysAdmin,Jakarta Pusat,,['networking'],S1,full time
PT Dipo Star Finance,IT Quality Assurance Engineer (Yogyakarta),QA / Tester,Yogyakarta,,['agile'],S1,full time
PT Peoplyee Tech Indonesia,IT Support,Support / Helpdesk / IT Ops,Jakarta Selatan,,[],S1,full time
PT Infomedia Solusi Humanika,Computational Infrastructure Engineer,Network / Infra / SysAdmin,Jakarta Raya,16675000.0,[],Diploma,full time
PT BANGUNPERKASA  ADHITAMASENTRA,Network Infra,Network / Infra / SysAdmin,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Indomobil Finance Indonesia,IT Helpdesk (App Support),Support / Helpdesk / IT Ops,Jakarta Raya,,['sql'],S1,full time
PT Biometrik Citra Solusi,Software Tester,QA / Tester,Surabaya,5500000.0,"['agile', 'git', 'jira', 'scrum']",Diploma,full time
PT SCG Barito Logistics,IT Programmer,Other,Jakarta Barat,,"['css', 'laravel', 'php', 'sql']",S1,full time
PT Chandrakarya Dharmajaya,Product Support Engineer,Support / Helpdesk / IT Ops,Jakarta Pusat,5750000.0,['c'],Diploma,full time
PT Transcon Indonesia,IT Support,Support / Helpdesk / IT Ops,Surabaya,5600000.0,[],Diploma,kontrak/temporer
Yayasan Pendidikan Pradita Indonesia,Full Stack Developer,Fullstack Engineer,Tangerang,6750000.0,"['angular', 'css', 'html', 'java', 'javascript', 'laravel', 'mongodb', 'mysql', 'php', 'python', 'react']",Tidak Disebutkan,full time
Lembaga Pembiayaan Ekspor Indonesia (Indonesia Eximbank),IT System Development Officer,Other,Jakarta Raya,,[],S1,full time
PT. UNGARAN WANA KARYA,QUALITY ASSURANCE,QA / Tester,Semarang,,[],Tidak Disebutkan,full time
PT CBM Data Teknologi,Software Engineer - Customer Success,Other,Jakarta Selatan,6400000.0,"['postgresql', 'python']",S1,kontrak/temporer
PT Nusantara Compnet Integrator,Senior Presales Security,Security / Cybersecurity,Jakarta Barat,,['networking'],S1,full time
PT Ako Media Asia,Fullstack Developer,Fullstack Engineer,Jakarta Raya(Hibrid),,"['aws', 'react', 'typescript']",Tidak Disebutkan,kontrak/temporer
PT Besmart Global Indonesia,DevOps,DevOps / Cloud / SRE,Jakarta Raya,,"['android', 'docker', 'jenkins', 'linux']",S1,full time
PT Inovasi Daya Solusi,IT Application Support,Support / Helpdesk / IT Ops,Jakarta Selatan,,[],S1,full time
PT Astra Graphia Information Technology (AGIT),IT Governance,Other,Jakarta Raya,,[],S1,kontrak/temporer
KSP Nasari,Database Specialist,Data / AI,Semarang,,"['mongodb', 'redis', 'typescript']",S1,full time
PT Nojorono Tobacco International,Database Administrator Officer,Data / AI,Jakarta Timur,,['oracle'],S1,full time
"PT. BFI FINANCE INDONESIA, Tbk",Senior Frontend Engineer Mobile,Frontend Engineer,Tangerang District,,"['android', 'flutter']",S1,full time
PT Prawathiya Karsa Pradipta,IT Project Manager ( PMO ),Product / Project / Scrum,Bekasi,,['agile'],S1,full time
Ika Raya Sentausa,IT Support,Support / Helpdesk / IT Ops,Malang,,"['excel', 'sql']",Diploma,kontrak/temporer
PT Bangga Teknologi Indonesia,General Affair & IT Specialist,Other,Jakarta Utara,7250000.0,['excel'],Diploma,kontrak/temporer
Pengiklan Anonim,Mobile Developer,Mobile Developer,Bandung,6000000.0,"['android', 'flutter', 'kotlin', 'machine learning', 'tensorflow']",Tidak Disebutkan,full time
PT Besmart Global Indonesia,JUNIOR DEVELOPER,Other,Surabaya,,"['angular', 'c', 'c#', 'css', 'git', 'java', 'javascript', 'react', 'vue']",S1,full time
PT Datacaraka Solusindo,Senior Full Stack Developer,Fullstack Engineer,Jakarta Raya,19000000.0,"['.net', 'c', 'c#', 'css', 'html', 'javascript', 'sql']",Diploma,full time
Orang Tua Group,Project Monitoring Staff,Other,Jakarta Barat,,[],S1,full time
"PT. Metrodata Electronics, Tbk",SAP Consultant (All Module),ERP / SAP / Odoo / Dynamics,Jakarta Barat,,['go'],S1,full time
PT UangMe Fintek Indonesia,Mobile Developer,Mobile Developer,Jakarta Selatan,,"['flutter', 'git', 'ios', 'kotlin']",S1,full time
PT. INTEGRA INDO LESTARI,Digital Transformation Manager,Other,Sidoarjo,,[],S1,full time
PT Prudential Life Assurance,Apprenticeship - Product Implementation,Other,Jakarta Selatan,,['excel'],Tidak Disebutkan,kontrak/temporer
PT Forty Resources,Fullstack Developer,Fullstack Engineer,Jakarta Selatan,7750000.0,"['laravel', 'linux', 'ui/ux']",Diploma,full time
PT Hashmicro Solusi Indonesia,ERP System Implementor (Fresh Graduate),ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,"['go', 'networking']",S1,full time
PT Talentive Consulting Indonesia,BUSINESS DEVELOPMENT - IT SOFTWARE (JAKARTA),Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Membara Cipta Sehati,IT TEAM,Other,Jakarta Pusat,,"['cybersecurity', 'linux', 'networking']",S1,full time
PT.INTERNATIONAL SERVICES PACIFIC CROSS,Developer Supervisor,Other,Jakarta Selatan,,"['aws', 'css', 'flutter', 'git', 'golang', 'html', 'javascript', 'laravel', 'linux', 'mongodb', 'mysql', 'node.js', 'php', 'postgresql', 'python', 'react']",S1,kontrak/temporer
PT. Genting Plantations Nusantara,Business Analyst Lead,Business / System Analyst,Jakarta Selatan,,['sql'],S1,full time
PT Garudafood Putra Putri Jaya,IT Application Development & Support Officer (ABAP),ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,[],S1,full time
PT Karya Solusi Prima Sejahtera,Data Center Operation (DOC) 24/7,Data / AI,Tangerang,6000000.0,"['java', 'linux', 'mysql', 'oracle', 'php', 'postgresql', 'python', 'sql']",S1,full time
PT Sharing Vision Indonesia,Full Stack Engineer (Golang + React.JS),Backend Engineer,Jakarta Pusat,,"['golang', 'mysql', 'node.js', 'postgresql', 'python', 'react', 'sql', 'vue']",Diploma,kontrak/temporer
PT. Teradata Megah,SUPPORT APLIKASI PERBANKAN,Support / Helpdesk / IT Ops,Bandung,9250000.0,"['.net', 'java', 'sql']",S1,full time
"PT. Metrodata Electronics, Tbk",Server Storage & Backup Engineer,Network / Infra / SysAdmin,Jakarta Raya,,[],S1,kontrak/temporer
PT Adi Data Informatika,RPA Developer,Other,Jakarta Raya,,"['.net', 'c', 'c#', 'javascript', 'python', 'sql']",S1,full time
PT Suzuki Indomobil Motor,IT Developer,Other,Jakarta Timur,,"['.net', 'oracle', 'sql']",S1,full time
Jackson Ventures,Data Acquisition Engineer (Web Data Engineer),Frontend Engineer,Jakarta Raya(Jarak jauh),8500000.0,"['pandas', 'python', 'sql']",Tidak Disebutkan,full time
CV Technopartner Indonesia,Software Tester (Quality Assurance) - Yogyakarta,QA / Tester,Yogyakarta,,[],Tidak Disebutkan,full time
PT Graha Karya Informasi,Data Engineer,Data / AI,Jakarta Selatan,7500000.0,"['aws', 'azure', 'big data', 'google cloud', 'hadoop', 'java', 'machine learning', 'python', 'spark', 'sql']",Tidak Disebutkan,full time
PT Ninety Nine Dotco,Lowongan Kerja Senior Frontend Engineer,Frontend Engineer,Bandung,,"['angular', 'css', 'html', 'javascript', 'react']",Tidak Disebutkan,full time
PT Trinusa Travelindo,Senior Productivity Tools Specialist (Contract-based),Other,Jakarta Raya,,"['javascript', 'jira']",S1,full time
