Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
PT Chandrakarya Dharmajaya,Product Support Engineer,Support / Helpdesk / IT Ops,Jakarta Pusat,5750000,['c'],Diploma,full time,DKI Jakarta
PT Transcon Indonesia,IT Support,Support / Helpdesk / IT Ops,Surabaya,5600000,[],Diploma,kontrak/temporer,Jawa Timur
Yayasan Pendidikan Pradita Indonesia,Full Stack Developer,Fullstack Engineer,Tangerang,6750000,"['angular', 'css', 'html', 'java', 'javascript', 'laravel', 'mongodb', 'mysql', 'php', 'python', 'react']",Tidak Disebutkan,full time,Banten
Lembaga Pembiayaan Ekspor Indonesia (Indonesia Eximbank),IT System Development Officer,Other,Jakarta Raya,,[],S1,full time,DKI Jakarta
PT. UNGARAN WANA KARYA,QUALITY ASSURANCE,QA / Tester,Semarang,,[],Tidak Disebutkan,full time,Jawa Tengah
PT CBM Data Teknologi,Software Engineer - Customer Success,Other,Jakarta Selatan,6400000,"['postgresql', 'python']",S1,kontrak/temporer,DKI Jakarta
PT Nusantara Compnet Integrator,Senior Presales Security,Security / Cybersecurity,Jakarta Barat,,['networking'],S1,full time,DKI Jakarta
PT Ako Media Asia,Fullstack Developer,Fullstack Engineer,Jakarta Raya(Hibrid),,"['aws', 'react', 'typescript']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Besmart Global Indonesia,DevOps,DevOps / Cloud / SRE,Jakarta Raya,,"['android', 'docker', 'jenkins', 'linux']",S1,full time,DKI Jakarta
PT Inovasi Daya Solusi,IT Application Support,Support / Helpdesk / IT Ops,Jakarta Selatan,,[],S1,full time,DKI Jakarta
PT Astra Graphia Information Technology (AGIT),IT Governance,Other,Jakarta Raya,,[],S1,kontrak/temporer,DKI Jakarta
KSP Nasari,Database Specialist,Data / AI,Semarang,,"['mongodb', 'redis', 'typescript']",S1,full time,Jawa Tengah
PT Nojorono Tobacco International,Database Administrator Officer,Data / AI,Jakarta Timur,,['oracle'],S1,full time,DKI Jakarta
"PT. BFI FINANCE INDONESIA, Tbk",Senior Frontend Engineer Mobile,Frontend Engineer,Tangerang District,,"['android', 'flutter']",S1,full time,Banten
PT Prawathiya Karsa Pradipta,IT Project Manager ( PMO ),Product / Project / Scrum,Bekasi,,['agile'],S1,full time,Jawa Barat
Ika Raya Sentausa,IT Support,Support / Helpdesk / IT Ops,Malang,,"['excel', 'sql']",Diploma,kontrak/temporer,Jawa Timur
PT Bangga Teknologi Indonesia,General Affair & IT Specialist,Other,Jakarta Utara,7250000,['excel'],Diploma,kontrak/temporer,DKI Jakarta
Pengiklan Anonim,Mobile Developer,Mobile Developer,Bandung,6000000,"['android', 'flutter', 'kotlin', 'machine learning', 'tensorflow']",Tidak Disebutkan,full time,Jawa Barat
PT Besmart Global Indonesia,JUNIOR DEVELOPER,Other,Surabaya,,"['angular', 'c', 'c#', 'css', 'git', 'java', 'javascript', 'react', 'vue']",S1,full time,Jawa Timur
PT Datacaraka Solusindo,Senior Full Stack Developer,Fullstack Engineer,Jakarta Raya,19000000,"['.net', 'c', 'c#', 'css', 'html', 'javascript', 'sql']",Diploma,full time,DKI Jakarta
Orang Tua Group,Project Monitoring Staff,Other,Jakarta Barat,,[],S1,full time,DKI Jakarta
"PT. Metrodata Electronics, Tbk",SAP Consultant (All Module),ERP / SAP / Odoo / Dynamics,Jakarta Barat,,['go'],S1,full time,DKI Jakarta
PT UangMe Fintek Indonesia,Mobile Developer,Mobile Developer,Jakarta Selatan,,"['flutter', 'git', 'ios', 'kotlin']",S1,full time,DKI Jakarta
PT Prudential Life Assurance,Apprenticeship - Product Implementation,Other,Jakarta Selatan,,['excel'],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Forty Resources,Fullstack Developer,Fullstack Engineer,Jakarta Selatan,7750000,"['laravel', 'linux', 'ui/ux']",Diploma,full time,DKI Jakarta
PT Hashmicro Solusi Indonesia,ERP System Implementor (Fresh Graduate),ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,"['go', 'networking']",S1,full time,DKI Jakarta
PT Membara Cipta Sehati,IT TEAM,Other,Jakarta Pusat,,"['cybersecurity', 'linux', 'networking']",S1,full time,DKI Jakarta
PT.INTERNATIONAL SERVICES PACIFIC CROSS,Developer Supervisor,Other,Jakarta Selatan,,"['aws', 'css', 'flutter', 'git', 'golang', 'html', 'javascript', 'laravel', 'linux', 'mongodb', 'mysql', 'node.js', 'php', 'postgresql', 'python', 'react']",S1,kontrak/temporer,DKI Jakarta
PT. Genting Plantations Nusantara,Business Analyst Lead,Business / System Analyst,Jakarta Selatan,,['sql'],S1,full time,DKI Jakarta
PT Garudafood Putra Putri Jaya,IT Application Development & Support Officer (ABAP),ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,[],S1,full time,DKI Jakarta
PT Karya Solusi Prima Sejahtera,Data Center Operation (DOC) 24/7,Data / AI,Tangerang,6000000,"['java', 'linux', 'mysql', 'oracle', 'php', 'postgresql', 'python', 'sql']",S1,full time,Banten
PT Sharing Vision Indonesia,Full Stack Engineer (Golang + React.JS),Backend Engineer,Jakarta Pusat,,"['golang', 'mysql', 'node.js', 'postgresql', 'python', 'react', 'sql', 'vue']",Diploma,kontrak/temporer,DKI Jakarta
PT. Teradata Megah,SUPPORT APLIKASI PERBANKAN,Support / Helpdesk / IT Ops,Bandung,9250000,"['.net', 'java', 'sql']",S1,full time,Jawa Barat
"PT. Metrodata Electronics, Tbk",Server Storage & Backup Engineer,Network / Infra / SysAdmin,Jakarta Raya,,[],S1,kontrak/temporer,DKI Jakarta
PT Adi Data Informatika,RPA Developer,Other,Jakarta Raya,,"['.net', 'c', 'c#', 'javascript', 'python', 'sql']",S1,full time,DKI Jakarta
PT Suzuki Indomobil Motor,IT Developer,Other,Jakarta Timur,,"['.net', 'oracle', 'sql']",S1,full time,DKI Jakarta
Jackson Ventures,Data Acquisition Engineer (Web Data Engineer),Frontend Engineer,Jakarta Raya(Jarak jauh),8500000,"['pandas', 'python', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
CV Technopartner Indonesia,Software Tester (Quality Assurance) - Yogyakarta,QA / Tester,Yogyakarta,,[],Tidak Disebutkan,full time,DI Yogyakarta
PT Graha Karya Informasi,Data Engineer,Data / AI,Jakarta Selatan,7500000,"['aws', 'azure', 'big data', 'google cloud', 'hadoop', 'java', 'machine learning', 'python', 'spark', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Ninety Nine Dotco,Lowongan Kerja Senior Frontend Engineer,Frontend Engineer,Bandung,,"['angular', 'css', 'html', 'javascript', 'react']",Tidak Disebutkan,full time,Jawa Barat
PT Trinusa Travelindo,Senior Productivity Tools Specialist (Contract-based),Other,Jakarta Raya,,"['javascript', 'jira']",S1,full time,DKI Jakarta
PT Communication Cable Systems Indonesia Tbk,IT Infrastructure & Network Security,Security / Cybersecurity,Cilegon,,"['android', 'aws', 'azure', 'ios', 'linux', 'networking', 'oracle', 'tcp/ip']",Tidak Disebutkan,kontrak/temporer,Banten
PT AsiaPay Technology Indonesia,IT - Information Security Officer,Security / Cybersecurity,Jakarta Selatan,,"['cybersecurity', 'networking']",S1,full time,DKI Jakarta
Indoprima Group,HRIS Programmer,Other,Surabaya,,"['excel', 'oracle', 'power bi', 'sql', 'tableau']",S1,full time,Jawa Timur
PT. YFY JUPITER INDONESIA,Quality Assurance Engineer,QA / Tester,Tangerang,,[],S1,full time,Banten
PT Haeng Nam Sejahtera Indonesia,IT Support & Infrastructure Staff,Network / Infra / SysAdmin,Bogor,,[],S1,full time,Jawa Barat
PT. Indonesia Fintopia Technology,Backend Engineer (Mandarin Speaker),Backend Engineer,Jakarta Selatan,,"['java', 'mysql', 'redis']",S1,full time,DKI Jakarta
PT Salva Teknologi Digital,IT System Analyst,Business / System Analyst,Jakarta Pusat,10000000,"['.net', 'agile', 'c', 'c#', 'java', 'mysql', 'oracle', 'sql']",S1,full time,DKI Jakarta
PT Bayu Buana Tbk,IT Technical Support Staff,Support / Helpdesk / IT Ops,Jakarta Pusat,,"['networking', 'tcp/ip']",Diploma,full time,DKI Jakarta
PT Merpati Mahardika,IT INFRASTRUCTURE,Network / Infra / SysAdmin,Jakarta Barat,,"['aws', 'azure', 'linux']",S1,full time,DKI Jakarta
Jasnikom Gemanusa,Network Engineer On Site (Surabaya Area),Network / Infra / SysAdmin,Surabaya,,"['networking', 'tcp/ip']",Diploma,full time,Jawa Timur
Jasnikom Gemanusa,Data Input Intern,Data / AI,Jakarta Pusat,,['excel'],Diploma,paruh waktu,DKI Jakarta
CV Indopanda Elite Akademi,AI & Digital Operations Specialist (Remote),Data / AI,Jakarta Raya(Jarak jauh),,[],Tidak Disebutkan,full time,DKI Jakarta
PT Kitar Technology Indonesia,Product Operations Specialist,Other,Jakarta Selatan,,['ui/ux'],S1,full time,DKI Jakarta
Hanwha Life Insurance Indonesia,Digital Transformation Team Member,Other,Jakarta Selatan,,"['android', 'flutter', 'git', 'ios', 'ui/ux']",Tidak Disebutkan,full time,DKI Jakarta
PT Delta Surya Husada,IT PROGRAMMER,Other,Sidoarjo,,"['git', 'laravel', 'mysql', 'php', 'postgresql']",S1,full time,Jawa Timur
PT Hashmicro Solusi Indonesia,Python Developer (Django),Backend Engineer,Jakarta Raya(Jarak jauh),,"['django', 'postgresql', 'python']",Tidak Disebutkan,full time,DKI Jakarta
PT Netmarks Indonesia,Network Engineer,Network / Infra / SysAdmin,Sidoarjo,7250000,"['networking', 'tcp/ip']",Tidak Disebutkan,full time,Jawa Timur
"PT. Trimegah Sekuritas Indonesia, Tbk",Mobile Developer (iOS)  (WFO Full),Mobile Developer,Jakarta Selatan,,"['flutter', 'ios', 'jenkins', 'swift']",Tidak Disebutkan,full time,DKI Jakarta
PT. Mora Telematika Indonesia TBK,IT Development,Other,Jakarta Pusat,,"['docker', 'java', 'kubernetes', 'mysql', 'node.js', 'oracle', 'php', 'postgresql']",S1,full time,DKI Jakarta
PT BANGUNPERKASA  ADHITAMASENTRA,Sistem Analis,Other,Jakarta Barat,,"['agile', 'jira', 'scrum', 'sql']",S1,full time,DKI Jakarta
PT Trinusa Travelindo,Senior Syslog Server Analyst (Contract-based),Network / Infra / SysAdmin,Jakarta Raya,,"['.net', 'aws', 'azure', 'java', 'python', 'sql']",S1,full time,DKI Jakarta
Pengiklan Anonim,Data Finance Administrator,Data / AI,Jakarta Selatan,,['excel'],Diploma,kontrak/temporer,DKI Jakarta
PT Avows Technologies,Backend Developer,Backend Engineer,Jakarta Raya,,"['.net', 'git', 'golang', 'java', 'mongodb', 'mysql', 'postgresql', 'spring boot']",S1,full time,DKI Jakarta
PT. HTC Global Software Services,L1 Security Operation Center,Security / Cybersecurity,Jakarta Raya,5750000,"['cybersecurity', 'linux', 'tcp/ip']",S1,full time,DKI Jakarta
PT Solusi Transportasi Indonesia,"Software Engineer, Mobile (iOS) - Geo",Mobile Developer,Jakarta Raya,,"['agile', 'c', 'git', 'ios', 'jenkins', 'swift']",Tidak Disebutkan,full time,DKI Jakarta
PT Petrosea Tbk,Digital Content Development (Developer),Other,Jakarta Barat,,[],Tidak Disebutkan,full time,DKI Jakarta
PT Kapal Api Global,ICT Staff (Web Programmer) - PT. Fastana Logistik Indonesia,Other,Jakarta Timur,,"['golang', 'java', 'mongodb', 'php', 'react', 'react native', 'vue']",S1,full time,DKI Jakarta
PT IDStar Cipta Teknologi,Cloud Engineer,DevOps / Cloud / SRE,Jakarta Raya,,"['aws', 'git', 'linux', 'python', 'terraform']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT IDStar Cipta Teknologi,IT Project Manager,Product / Project / Scrum,Jakarta Raya,,"['cybersecurity', 'networking']",S1,full time,DKI Jakarta
PT Karya Solusi Prima Sejahtera,TEKNISI ATM,Other,Tangerang,,"['java', 'linux', 'oracle', 'sql']",S1,full time,Banten
PT Prawathiya Karsa Pradipta,Application Support,Support / Helpdesk / IT Ops,Bekasi,,"['linux', 'networking']",Tidak Disebutkan,full time,Jawa Barat
PT Asuransi Jiwa Sequis Life,IT Business Analyst (Non-IQUBE),Business / System Analyst,Jakarta Selatan,,[],Tidak Disebutkan,full time,DKI Jakarta
PT Trinusa Travelindo,Software Engineering - Backend - Customer Care (Bot and Communication Channels),Backend Engineer,Jakarta Raya,,"['aws', 'java', 'python', 'terraform']",Tidak Disebutkan,full time,DKI Jakarta
IP-TRIBE PRIVATE LIMITED,Join IP-Tribe Technology Indonesia as a Senior Operations Engineer,Other,Jakarta Raya,21000000,"['aws', 'azure', 'cybersecurity', 'google cloud', 'kubernetes', 'linux', 'networking']",Tidak Disebutkan,full time,DKI Jakarta
PT Akulaku Silvrr Indonesia,Senior IT Product,Other,Jakarta Raya,,"['agile', 'go', 'jira', 'power bi', 'scrum', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT IDStar Cipta Teknologi,Front End Developer (Mobile & Web),Frontend Engineer,Jakarta Raya,,"['css', 'flutter', 'git', 'html', 'react', 'typescript', 'ui/ux']",S1,kontrak/temporer,DKI Jakarta
PT Kiwoom Sekuritas Indonesia,IT Supervisor,Other,Jakarta Selatan,,['linux'],Diploma,full time,DKI Jakarta
PT Graha Vinoti Kreasindo,IT PROGRAMMER,Other,Jakarta Timur,7000000,"['android', 'java', 'sql']",Diploma,kontrak/temporer,DKI Jakarta
PT Ciptakom Media Nusa,Customer Support / Help Desk,Support / Helpdesk / IT Ops,Jakarta Barat,,['excel'],Tidak Disebutkan,full time,DKI Jakarta
PT Arthagraha General Insurance,Flutter Developer,Mobile Developer,Jakarta Pusat,,"['flutter', 'mysql', 'node.js', 'oracle', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Mitra Informatika,Back-End Developer,Other,Surabaya,5500000,"['laravel', 'mysql', 'node.js', 'php', 'sql']",Tidak Disebutkan,full time,Jawa Timur
Orico Balimor Finance,IT Network & Security Staff,Security / Cybersecurity,Jakarta Pusat,,['tcp/ip'],S1,kontrak/temporer,DKI Jakarta
PT Sriboga Flour Mill,Specialist Programmer & Application Software,Other,Semarang,,"['html', 'java', 'sql']",S1,full time,Jawa Tengah
PT Prudential Life Assurance,Apprenticeship - System Tester (Quality Assurance),QA / Tester,Jakarta Selatan,,['agile'],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT. Global Media Devid,Cloud Solution Architect,DevOps / Cloud / SRE,Jakarta Selatan,35000000,"['aws', 'azure', 'kubernetes', 'networking', 'terraform']",Tidak Disebutkan,full time,DKI Jakarta
PT Infomedia Solusi Humanika,Engineer On Site (EOS),Other,Jakarta Raya,8000000,[],Diploma,full time,DKI Jakarta
PT MUGI,WEB DEVELOPER,Other,Jakarta Selatan,,"['css', 'javascript', 'laravel', 'mysql', 'php']",S1,full time,DKI Jakarta
PT Adecco Personnel Indonesia,Tech Lead (Fullstack),Fullstack Engineer,Jakarta Selatan,22500000,"['flutter', 'java']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT. Wide Technologies Indonesia,Senior IT Business Analyst,Business / System Analyst,Jakarta Selatan,,"['agile', 'jira', 'scrum']",S1,full time,DKI Jakarta
PT Visionet Data Internasional,IT Server Support,Network / Infra / SysAdmin,Tangerang,,"['aws', 'azure', 'google cloud', 'linux']",S1,full time,Banten
"PT SMART,Tbk",Data Analyst Section Head (Marunda),Data / AI,Jakarta Utara,,"['excel', 'power bi', 'tableau']",Tidak Disebutkan,full time,DKI Jakarta
PT Airwave Aji Perkasa,Pengawas Lapangan,Other,Tangerang,4750000,['c'],Tidak Disebutkan,kontrak/temporer,Banten
PT. SAPTAINDRA SEJATI,IT Infrastructure & Communication Officer,Network / Infra / SysAdmin,Jakarta Selatan,,[],S1,full time,DKI Jakarta
PT Bina Talenta,IT Support / Sysadmin,Network / Infra / SysAdmin,Jakarta Selatan,6250000,"['aws', 'azure', 'linux', 'networking', 'tcp/ip']",Diploma,kontrak/temporer,DKI Jakarta
PT Masa Akan Datang,QA Engineer,QA / Tester,Tangerang Regency,,"['agile', 'git', 'java', 'python', 'scrum']",Tidak Disebutkan,full time,Banten
PT Rsystems Ibizcs International,Backend Java Developer,Backend Engineer,Tangerang,10000000,"['git', 'java', 'spring boot']",Tidak Disebutkan,full time,Banten
PT Mitra Indo Maju,IT Programmer (ERP),ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,"['c', 'c#', 'go', 'java', 'mysql', 'oracle', 'postgresql', 'python', 'sql']",S1,full time,DKI Jakarta
Sinar Alam Abadijaya,IT Support SAP,ERP / SAP / Odoo / Dynamics,Tangerang,7000000,"['linux', 'networking']",S1,full time,Banten
PT Intimap,Web Developer,Other,Jakarta Pusat,,"['css', 'html', 'javascript', 'mysql', 'node.js', 'php', 'postgresql', 'react', 'vue']",S1,full time,DKI Jakarta
PT Buana Finance Tbk,IT Technical Consultant (Application Support),Support / Helpdesk / IT Ops,Jakarta Raya,,[],S1,full time,DKI Jakarta
PwC Indonesia,Associate and Senior Associate - IFS - Application Development,Security / Cybersecurity,Jakarta Raya,,"['.net', 'angular', 'c', 'c#', 'css', 'figma', 'html', 'java', 'javascript', 'mongodb', 'power bi', 'react', 'sql', 'tableau', 'ui/ux']",S1,full time,DKI Jakarta
PT Salva Teknologi Digital,IT Business Analyst,Business / System Analyst,Jakarta Pusat,12500000,"['agile', 'figma', 'jira', 'scrum']",S1,full time,DKI Jakarta
PT Dipo Star Finance,IT Help Desk / Assets Officer,Other,Jakarta Pusat,,"['android', 'linux', 'networking']",S1,full time,DKI Jakarta
PT Emmerick Indonesia Jaya,IT Staff (IT Infrastructure),Network / Infra / SysAdmin,Jakarta Raya,4750000,[],S1,full time,DKI Jakarta
PT INDONESIA LOGAM PRATAMA,Senior Product Specialist,Other,South Tangerang,,"['android', 'ios', 'scrum']",S1,full time,Banten
PT XL Axiata Tbk,Quality Assurance Engineer,QA / Tester,Jakarta Raya,,"['agile', 'jira', 'scrum']",S1,full time,DKI Jakarta
PT Behaestex,Staf Implementor Sintax,Other,Gresik,,"['git', 'laravel', 'php']",Diploma,kontrak/temporer,Jawa Timur
PT Adira Dinamika Multi Finance Tbk,Application Security Engineer,Security / Cybersecurity,Jakarta Selatan,,"['go', 'java', 'javascript', 'python']",Tidak Disebutkan,full time,DKI Jakarta
PT MEDELA POTENTIA Tbk,Software Engineer (Fullstack),Fullstack Engineer,South Tangerang,,"['css', 'golang', 'html', 'javascript', 'mongodb', 'mysql', 'postgresql', 'react']",S1,full time,Banten
PT Administrasi Medika,Junior Officer Data Scientist,Data / AI,Jakarta Pusat,,"['machine learning', 'power bi', 'python', 'sql', 'tableau']",S1,kontrak/temporer,DKI Jakarta
PT Supra Boga Lestari Tbk,IT Application Developer,Other,Jakarta Barat,,"['java', 'mongodb', 'mysql', 'oracle', 'postgresql', 'power bi', 'python', 'sql', 'tableau']",Tidak Disebutkan,full time,DKI Jakarta
Jasnikom Gemanusa,Network Engineer,Network / Infra / SysAdmin,Jakarta Pusat,,"['linux', 'networking', 'tcp/ip']",Diploma,full time,DKI Jakarta
PT. Metrocomjaddi Technology,Scrum Master,Product / Project / Scrum,Jakarta Raya(Hibrid),,"['agile', 'azure', 'jira', 'scrum']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT INTINUSA SEJAHTERA INTERNASIONAL,IT System Development,Other,Jakarta Barat,8000000,"['angular', 'aws', 'c', 'git', 'laravel', 'mysql', 'php', 'react']",Diploma,full time,DKI Jakarta
PT. Warna Makmur Abadi,AI Automasi,Data / AI,Jakarta Barat,5250000,"['c', 'c++', 'javascript', 'python']",Tidak Disebutkan,full time,DKI Jakarta
PT. Wide Technologies Indonesia,System Engineer,Other,Jakarta Selatan,,"['aws', 'azure', 'linux', 'networking']",S1,full time,DKI Jakarta
PT Blue Ocean Heart,General Affair Manager (MANDARIN SPEAKER),Other,Surabaya,17000000,['excel'],S1,full time,Jawa Timur
PT Erela,IT Network & Security Specialist,Security / Cybersecurity,Semarang,,['tcp/ip'],Diploma,full time,Jawa Tengah
PT JAC Consulting Indonesia,IT Infrastructure (Manager/Assistant Manager),Network / Infra / SysAdmin,Jakarta Raya,22500000,['cybersecurity'],S1,full time,DKI Jakarta
KSP Nasari,Senior Fullstack Developer,Fullstack Engineer,Semarang,,"['laravel', 'mongodb', 'php', 'typescript']",S1,full time,Jawa Tengah
PT Nusantara Berkah Digital,Android Developer,Mobile Developer,Bantul,,"['android', 'java', 'kotlin', 'machine learning']",S1,full time,DI Yogyakarta
KEMAS SURYA TEKNOVASI,WordPress Developer,Other,Bantul,4000000,"['css', 'html', 'javascript', 'mysql', 'php']",Tidak Disebutkan,full time,DI Yogyakarta
PT Lyto Datarindo Fortuna,Staff Web Developer,Other,Jakarta Raya,7000000,"['css', 'git', 'html', 'javascript', 'laravel', 'mysql', 'php', 'sql']",S1,full time,DKI Jakarta
"PT. Trimegah Sekuritas Indonesia, Tbk",Mobile Developer (Android) (WFO Full),Mobile Developer,Jakarta Selatan,,"['android', 'flutter', 'jenkins', 'kotlin']",Tidak Disebutkan,full time,DKI Jakarta
PT Ketrosden Triasmitra,SPV IT Infrastructure,Network / Infra / SysAdmin,Jakarta Timur,,"['linux', 'mysql', 'networking', 'oracle', 'tcp/ip']",S1,full time,DKI Jakarta
PT Sigmantara Alfindo,AI Engineer,Data / AI,Tangerang,,"['aws', 'azure', 'docker', 'mongodb', 'mysql', 'postgresql', 'python', 'sql', 'tableau']",S1,full time,Banten
Chemindo Group,IT Operation Support,Support / Helpdesk / IT Ops,Jakarta Barat,6750000,"['php', 'python', 'sql']",S1,full time,DKI Jakarta
EKA HOSPITAL,SAP BASIS Specialist,ERP / SAP / Odoo / Dynamics,South Tangerang,,[],S1,full time,Banten
PT Staedtler Indonesia (Serang),IT (automation) Staff,Other,Serang,,"['javascript', 'mysql', 'node.js', 'python']",S1,full time,Banten
PT Dutakom Wibawa Putra (D~NET),Network Technical Support,Network / Infra / SysAdmin,Surabaya,,['tcp/ip'],Diploma,full time,Jawa Timur
Pengiklan Anonim,Data Analyst (health Insurance),Data / AI,Jakarta Pusat,7000000,"['excel', 'python', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT Intersolusi Teknologi Asia,Javascript Developer,Backend Engineer,Bandung,6250000,"['agile', 'angular', 'css', 'git', 'html', 'javascript', 'react', 'typescript', 'vue']",S1,full time,Jawa Barat
AlphaPhilindo Solution Inc,DevOps Engineer,DevOps / Cloud / SRE,Jakarta Raya,10500000,"['aws', 'azure', 'docker', 'jenkins', 'kubernetes', 'python', 'terraform']",Tidak Disebutkan,full time,DKI Jakarta
PT Sigma Cipta Utama,Hardware Engineer,Other,South Tangerang,,['iot'],S1,full time,Banten
LOGIQUE,Penetration Testing (Pentester),QA / Tester,Jakarta Raya(Jarak jauh),12500000,"['android', 'aws', 'azure', 'c', 'c#', 'cybersecurity', 'google cloud', 'ios', 'java', 'penetration testing', 'python']",Tidak Disebutkan,full time,DKI Jakarta
PT Ako Media Asia,Mobile Developer,Mobile Developer,Jakarta Barat,,"['android', 'git', 'ios', 'kotlin', 'swift']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
"PT. Metrodata Electronics, Tbk",Jr. Technical Consultant (Microsoft Dynamics CRM),ERP / SAP / Odoo / Dynamics,Jakarta Barat,,"['.net', 'c', 'c#', 'javascript', 'sql']",S1,full time,DKI Jakarta
PT PRIME AGRI RESOURCES Tbk,IT Business Analyst (Jakarta),Business / System Analyst,Jakarta Selatan,,"['.net', 'java', 'javascript', 'sql']",S1,full time,DKI Jakarta
PT Ako Media Asia,Project Manager,Product / Project / Scrum,Jakarta Barat,,"['agile', 'jira', 'networking']",S1,kontrak/temporer,DKI Jakarta
"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",IT Identity & Access Management Supervisor,Other,Jakarta Raya,,['excel'],S1,full time,DKI Jakarta
PT Astra Graphia Information Technology (AGIT),.NET Developer,Other,Jakarta Raya,,"['.net', 'c', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT Seraphim Digital Technology,Account Manager (Cyber Security),Security / Cybersecurity,Jakarta Barat,,['cybersecurity'],S1,full time,DKI Jakarta
PT Altros Teknologi,IT Cyber Security Operations,Security / Cybersecurity,Jakarta Utara,11750000,[],S1,full time,DKI Jakarta
3it Bandung,Project manager / Lead coder,Product / Project / Scrum,Bandung,9500000,"['angular', 'laravel', 'react']",Tidak Disebutkan,full time,Jawa Barat
PT Trans Nikel Indonesia,IT Engineer,Other,Jakarta Utara,,"['c', 'go', 'oracle']",Tidak Disebutkan,full time,DKI Jakarta
PT Lawencon Internasional,IT System Analyst (AS400),Business / System Analyst,Jakarta Selatan,,[],S1,full time,DKI Jakarta
Jasnikom Gemanusa,Network Operation Center (NOC) Engineer,Network / Infra / SysAdmin,Jakarta Pusat,,"['linux', 'networking', 'tcp/ip']",Diploma,full time,DKI Jakarta
PT Erlimpex,Staff IT Hardware,Other,Semarang,,['iot'],S1,full time,Jawa Tengah
PT Daaz Bara Lestari,"HRIS, Data Center & Administration",Data / AI,Jakarta Selatan,,['excel'],S1,full time,DKI Jakarta
PT New Priok Container Terminal One,Full Stack Developer,Fullstack Engineer,Jakarta Utara,,"['.net', 'agile', 'angular', 'css', 'git', 'html', 'javascript', 'mysql', 'php', 'postgresql', 'python', 'react', 'scrum', 'sql', 'vue']",S1,kontrak/temporer,DKI Jakarta
PT Friendship Logistics Line,IT Developer,Other,Jakarta Utara,,"['android', 'html', 'ios', 'javascript', 'mysql', 'php']",Diploma,kontrak/temporer,DKI Jakarta
PT Buana Finance Tbk,IT Project Management,Other,Jakarta Selatan,,['agile'],S1,full time,DKI Jakarta
Cartrack Technologies Indonesia,Hardware & Inventory Intern,Other,Jakarta Selatan,,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Pratesis,Intern - Quality Assurance (for Distribution System),QA / Tester,Jakarta Selatan,,[],Tidak Disebutkan,full time,DKI Jakarta
PT. PERSADA SOLUSI DATA,IT Programmer,Other,Tangerang,,"['.net', 'c', 'c#', 'flutter', 'java', 'php', 'sql']",Tidak Disebutkan,full time,Banten
PT. PERSOLKELLY Recruitment Indonesia,IT System Analyst - WFO Jakarta (ID: 692787),Business / System Analyst,Jakarta Pusat,,"['.net', 'agile', 'c', 'c#', 'java', 'mysql', 'oracle', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT Jawa Soft,Senior JavaScript Full Stack Engineer,Backend Engineer,Jakarta Selatan,,"['aws', 'javascript', 'node.js']",Tidak Disebutkan,full time,DKI Jakarta
PT. PERSOLKELLY Recruitment Indonesia,IT Business Analyst - WFO Jakarta (ID: 692788),Business / System Analyst,Jakarta Pusat,,"['agile', 'figma', 'jira', 'scrum']",S1,kontrak/temporer,DKI Jakarta
PT Altros Teknologi,QA/QC Software Engineer,QA / Tester,Jakarta Utara,,['sql'],Tidak Disebutkan,full time,DKI Jakarta
PT Trinusa Travelindo,Data Analyst,Data / AI,Jakarta Raya,,"['aws', 'azure', 'machine learning', 'python', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT. Magnus Sedaya Selaras,Cyber Security Onsite Engineer,Security / Cybersecurity,Jakarta Raya,,[],S1,full time,DKI Jakarta
Soedarpo Informatika,IT Security Specialist,Security / Cybersecurity,Jakarta Barat,9500000,"['linux', 'penetration testing']",S1,full time,DKI Jakarta
Google,"Database Sales Specialist, Google Cloud",Data / AI,Jakarta Raya,,"['c', 'go', 'google cloud', 'mongodb', 'mysql', 'oracle', 'postgresql']",S1,full time,DKI Jakarta
PT Nusantara Duta Solusindo (NDS),IBM BAW Developer,Other,Jakarta Selatan,,"['agile', 'java', 'javascript', 'oracle', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
